subj RL_aic
3037 281.115483423 
3038 281.258872224 
3039 281.258872224 
3040 281.258872224 
3041 280.492121912 
3042 281.258872224 
3043 281.258872224 
3044 281.258872224 
3045 281.167146635 
3046 281.258872224 
3047 222.383885892 
8068 278.16928639 
8069 281.208359661 
8070 281.252037822 
8072 281.1382068 
8073 281.238096188 
8074 277.593024049 
8075 281.258872224 
8076 281.258872224 
3048 281.255317806 
3049 236.197564254 
3050 281.25802788 
3051 281.258872224 
8077 281.258872224 
8078 280.164882746 
8080 281.258872224 
8081 280.333243345 
8082 281.17850035 
8083 281.258872224 
8085 281.258872224 
3052 280.694979167 
3053 281.165441022 
3054 255.886021593 
3055 281.258872224 
3056 281.185846468 
3057 191.910535796 
