subj RL_aic
22824 33.7470456888 
22825 85.8749563814 
22827 32.5776408247 
22830 27.9042432412 
22831 54.5333231365 
22834 66.280957497 
22837 19.5954993001 
22838 55.3434383264 
22840 40.8613422594 
22845 55.6962643531 
22849 281.222087478 
22886 56.2882266491 
22888 77.6726913387 
22889 17.8240243767 
22891 53.1090338477 
22892 52.6118863482 
22893 43.6518275437 
22894 44.920289107 
22896 21.5396358408 
22961 67.7885713036 
22968 47.250246209 
22969 61.3801442648 
13257 44.4290299251 
13258 62.5250165274 
23013 80.8917803936 
23047 81.7434297199 
23052 71.1321249432 
23055 27.8245944778 
23056 86.8652904446 
23099 42.6535804221 
23107 19.885459295 
23161 57.3045219411 
23162 35.0256129637 
23163 87.9331497396 
23167 57.7336579322 
23168 37.5546290409 
23171 50.897830749 
