subj RL_aic
62075 281.258872224 
62076 272.412107006 
302 281.258872224 
303 278.98717638 
314 281.258872224 
317 268.984442318 
320 270.414525475 
321 281.258872224 
4010 231.902115691 
324 264.174175528 
330 221.952279843 
333 275.464706329 
4047 281.258872224 
345 145.916483092 
2047 281.241271941 
2049 281.258872224 
2050 273.41268889 
22035 215.513143762 
22036 281.258872224 
22037 281.258872224 
22038 263.285606623 
001 281.258872224 
002 243.115688945 
003 70.9729281407 
004 281.258872224 
3001 281.258872224 
3003 279.188968914 
3004 143.48661143 
3005 281.258872224 
3006 281.258872224 
3007 279.353283555 
3008 280.995840232 
3009 279.367081614 
4359 248.411698833 
352 281.258872224 
353 281.258872224 
354 281.258872224 
