subj RL_aic
22823 129.813614763 
22828 108.666101327 
22832 62.8999057221 
22835 151.17406763 
22841 172.295364305 
22843 76.5009238243 
22848 6.77258872224 
22852 56.6808868935 
22885 76.6992599505 
22890 115.796390453 
22902 61.4882361311 
22907 106.660325228 
22962 27.0448229727 
22964 140.336427155 
22965 82.5511879878 
22967 132.778477178 
22972 71.840464053 
22974 86.3242307709 
22975 6.77258872224 
22976 59.6768066745 
22977 41.6711846535 
23048 67.9141555536 
23050 66.3541363866 
23053 71.1596314487 
23057 50.093458025 
23100 35.7964946298 
23104 48.2709587882 
23106 73.4120771818 
23108 59.1767722349 
23110 38.2036413588 
23112 72.4836661547 
23155 28.5482412987 
23159 24.4989316863 
23165 141.771885496 
