subj RL_aic
62051 36.0645740407 
62052 280.81865402 
62053 278.089126359 
4444 239.952167308 
4445 275.459739927 
4446 237.568047812 
4447 281.212422666 
62054 6.77258872224 
62055 281.258872224 
62056 280.227936447 
62057 242.20726453 
62058 76.304392653 
62059 6.77258872224 
62060 277.770320405 
62061 167.70610242 
62062 52.0315572513 
62063 262.9939314 
62064 145.879752042 
62065 270.075155706 
62066 87.5477018098 
62072 83.48228149 
62073 241.378326716 
62075 156.185041966 
3010 104.429755968 
3030 281.258872224 
3031 225.290263006 
3032 280.230313149 
3034 274.904312979 
3035 281.258872224 
3036 105.486367983 
8060 193.450035855 
8061 95.6943210253 
8062 261.275748175 
8063 281.258872224 
8065 273.844299844 
8066 263.181776617 
8067 25.4509642842 
