subj RL_aic
22829 41.641337653 
22833 38.396897048 
22836 6.77258872224 
22839 39.7355047459 
22842 81.7790117007 
22844 30.7198365819 
22847 40.0743534941 
22887 32.1789778987 
22889 19.053035442 
22895 92.2201138509 
22900 27.4730881329 
22901 30.1062301502 
22903 87.6844099322 
22904 35.2407105724 
22905 40.1857783439 
22905a 38.997342596 
22907 50.2453256329 
22908 37.0876064772 
22908a 70.8486426394 
22963 49.370297861 
22966 162.365895856 
22970 21.5006233661 
23000 132.21634378 
23049 85.5787831941 
23051 38.7985621229 
23054 57.236874397 
23058 41.0683027144 
23101 64.6074329522 
23105 52.1335630185 
23109 52.4728705256 
23111 28.5606624267 
23114 6.77258872224 
23156 56.081323022 
23160 48.6843543137 
23164 55.5713986472 
23166 56.9999977806 
23170 32.0772629815 
